movie_name,release_year,certificate,duration,genre,star,metascore,votes
Zack Snyder's Justice League,2021,R,242 min,"Action, Adventure, Fantasy",8.1,54        ,"305,981"
Aspirants,2021– ,not rated,45 min,Drama,9.0,nil,"271,712"
WandaVision,2021,TV-PG,350 min,"Action, Comedy, Drama",8.1,nil,"185,274"
Radhe,2021,TV-MA,135 min,"Action, Crime, Thriller",1.8,nil,"163,375"
Godzilla vs. Kong,2021,PG-13,113 min,"Action, Sci-Fi, Thriller",6.4,59        ,"145,364"
Army of the Dead,2021,R,148 min,"Action, Crime, Horror",5.8,57        ,"121,239"
The Falcon and the Winter Soldier,2021,TV-14,50 min,"Action, Adventure, Drama",7.4,nil,"117,728"
Mortal Kombat,2021,R,110 min,"Action, Adventure, Fantasy",6.2,44        ,"116,956"
Nobody,I 2021,R,92 min,"Action, Crime, Drama",7.4,64        ,"109,042"
Raya and the Last Dragon,2021,PG,107 min,"Animation, Action, Adventure",7.4,75        ,"85,055"
Cruella,2021,PG-13,134 min,"Comedy, Crime",7.4,59        ,"76,111"
Lupin,2021– ,TV-MA,45 min,"Action, Crime, Drama",7.5,nil,"74,292"
Invincible,2021– ,TV-MA,364 min,"Animation, Action, Adventure",8.8,nil,"68,636"
Wrath of Man,2021,R,119 min,"Action, Crime, Thriller",7.2,57        ,"64,015"
The Little Things,2021,R,128 min,"Crime, Drama, Thriller",6.3,54        ,"63,627"
The Mitchells vs the Machines,2021,PG,113 min,"Animation, Adventure, Comedy",7.7,80        ,"61,770"
Mare of Easttown,2021,TV-MA,410 min,"Crime, Drama, Mystery",8.5,nil,"61,614"
Master,2021,Not Rated,179 min,"Action, Thriller",7.9,nil,"60,129"
Coming 2 America,2021,PG-13,110 min,Comedy,5.3,52        ,"58,363"
The Dig,2021,PG-13,112 min,"Biography, Drama, History",7.1,73        ,"57,945"
Tandav,2021– ,TV-14,30 min,"Drama, Thriller",3.7,nil,"55,369"
Shadow and Bone,2021– ,TV-14,nil,"Action, Adventure, Drama",7.8,nil,"55,154"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.9,nil,"54,291"
